## VASPv5 - PBE - 800ev - 21x21x13 - NBANDSok - without SP
##          Total-energy | mag=   |  Vol-at   c/a     a-hex 
 Sc_sv :     -6.33334 eV |  0.000 |   24.65   1.553   3.32
    Se :     -3.12348 eV |  0.000 |   22.35   1.044   3.67
    Si :     -4.91615 eV |  0.000 |   14.31   1.684   2.70
    Sn :     -3.78020 eV |  0.000 |   27.66   1.659   3.38
  Sn_d :     -3.94558 eV |  0.000 |   27.78   1.668   3.38
 Sr_sv :     -1.68070 eV |  0.000 |   55.34   1.635   4.28
    Ta :    -11.57641 eV |  0.000 |   18.58   1.776   2.89
  Tb_3 :     -4.61731 eV |  0.000 |   32.46   1.565   3.63
    Tc :    -10.30646 eV |  0.000 |   14.47   1.600   2.75
    Te :     -2.96317 eV |  0.000 |   31.53   1.079   4.07
    Th :     -7.37050 eV |  0.000 |   32.50   1.689   3.54
    Ti :     -7.76231 eV |  0.000 |   17.12   1.583   2.92
 Ti_sv :     -7.89091 eV |  0.000 |   17.36   1.586   2.93
    Tl :     -2.24562 eV |  0.000 |   31.18   1.564   3.58
     U :    -11.06787 eV |  0.000 |   20.98   1.839   2.98
     V :     -8.68290 eV |  0.000 |   13.60   1.813   2.59
  V_pv :     -8.82677 eV |  0.000 |   13.86   1.797   2.61
  V_sv :     -8.86577 eV |  0.000 |   13.89   1.795   2.61
     W :    -12.50967 eV |  0.000 |   16.36   1.786   2.77
  Y_sv :     -6.46621 eV |  0.000 |   32.92   1.550   3.66
    Yb :     -1.65373 eV |  0.000 |   37.81   1.631   3.77
    Zn :     -1.25353 eV |  0.000 |   14.99   1.632   2.77
    Zr :     -8.47787 eV |  0.000 |   23.43   1.599   3.23
 Zr_sv :     -8.54808 eV |  0.000 |   23.53   1.604   3.24
