## VASPv5 - PBE - 800ev - 21x21x13 - NBANDSok - without SP
##          Total-energy | mag=   |  Vol-at   c/a     a-hex 
  _PBS :      0.00000 eV |  0.000 |    0.00   0.000   1.00
    Ac :     -4.08481 eV |  0.000 |   45.48   1.622   4.02
    Ag :     -2.82379 eV |  0.000 |   18.08   1.641   2.94
    Al :     -3.71279 eV |  0.000 |   16.60   1.657   2.85
    As :     -4.15286 eV |  0.000 |   19.43   1.728   2.96
    Au :     -3.26620 eV |  0.000 |   18.19   1.672   2.93
     B :     -5.97226 eV |  0.000 |   10.30   4.742   1.71
 Ba_sv :     -1.90970 eV |  0.000 |   63.67   1.642   4.47
    Be :     -3.75406 eV |  0.000 |    7.92   1.578   2.26
    Bi :     -3.73992 eV |  0.000 |   31.66   1.671   3.52
    Br :     -1.12568 eV |  0.000 |   28.72   1.092   3.93
     C :     -5.29286 eV |  0.000 |    9.78   4.442   1.72
 Ca_pv :     -1.97983 eV |  0.000 |   42.31   1.654   3.89
    Cd :     -0.90894 eV |  0.000 |   22.98   1.901   3.03
    Ce :     -5.84428 eV |  0.000 |   26.82   1.742   3.29
    Cl :     -1.09279 eV |  0.000 |   22.81   1.070   3.66
    Co :     -6.88644 eV |  0.000 |   10.35   1.613   2.46
    Cr :     -9.10771 eV |  0.000 |   11.79   1.798   2.47
 Cs_sv :     -0.85381 eV |  0.000 |  117.24   1.615   5.51
    Cu :     -3.71063 eV |  0.000 |   12.04   1.641   2.57
  Dy_3 :     -4.59391 eV |  0.000 |   32.00   1.556   3.62
  Er_3 :     -4.56451 eV |  0.000 |   30.96   1.550   3.59
     F :     -1.03715 eV |  0.000 |   10.50   1.004   2.89
    Fe :     -8.22202 eV |  0.000 |   10.19   1.580   2.46
    Ga :     -2.89568 eV |  0.000 |   19.15   1.655   2.99
    Ge :     -4.18415 eV |  0.000 |   19.45   1.669   3.00
  Ge_d :     -4.29008 eV |  0.000 |   19.36   1.682   2.98
    Hf :     -9.95639 eV |  0.000 |   22.27   1.579   3.19
 Hf_pv :     -9.95599 eV |  0.000 |   22.49   1.583   3.20
    Hg :     -0.30546 eV |  0.000 |   31.67   1.545   3.62
  Ho_3 :     -4.57487 eV |  0.000 |   31.50   1.551   3.61
     I :     -1.23519 eV |  0.000 |   49.18   2.954   3.38
    In :     -2.55412 eV |  0.000 |   27.83   1.632   3.40
  In_d :     -2.71661 eV |  0.000 |   27.67   1.629   3.40
    Ir :     -8.78426 eV |  0.000 |   14.63   1.621   2.75
  K_sv :     -1.09766 eV |  0.000 |   74.01   1.631   4.71
    La :     -4.89978 eV |  0.000 |   37.58   1.610   3.78
    Li :     -1.90071 eV |  0.000 |   20.30   1.620   3.07
    Mg :     -1.54258 eV |  0.000 |   22.80   1.619   3.19
    Mn :     -8.97604 eV |  0.000 |   10.66   1.616   2.48
    Mo :    -10.50649 eV |  0.000 |   16.00   1.781   2.75
     N :     -4.72716 eV |  0.000 |    7.08   0.952   2.58
    Na :     -1.30825 eV |  0.000 |   36.99   1.632   3.74
 Nb_pv :     -9.79789 eV |  0.000 |   18.88   1.822   2.88
    Nd :     -6.47450 eV |  0.000 |   20.86   2.141   2.82
   new :      0.00000 eV |  0.000 |    0.00   0.000   1.00
    Ni :     -5.48742 eV |  0.000 |   10.91   1.652   2.48
    Np :    -12.27177 eV |  0.000 |   19.08   1.934   2.83
     O :     -2.89648 eV |  0.000 |    8.12   0.983   2.67
 Os_pv :    -11.22734 eV |  0.000 |   14.36   1.578   2.76
     P :     -4.55986 eV |  0.000 |   14.51   1.668   2.72
    Pa :     -9.48912 eV |  0.000 |   24.87   1.792   3.18
    Pb :     -3.55711 eV |  0.000 |   31.65   1.661   3.53
  Pb_d :     -3.69198 eV |  0.000 |   31.93   1.647   3.55
    Pd :     -5.14973 eV |  0.000 |   15.52   1.677   2.77
    Pr :     -6.28200 eV |  0.000 |   22.17   1.975   2.96
    Pt :     -6.00011 eV |  0.000 |   15.83   1.726   2.77
    Pu :    -13.58767 eV |  0.000 |   18.33   2.468   2.58
 Rb_pv :     -0.93295 eV |  0.000 |   91.35   1.622   5.07
    Re :    -12.42467 eV |  0.000 |   14.94   1.615   2.77
    Rh :     -7.23617 eV |  0.000 |   14.23   1.612   2.73
    Ru :     -9.20336 eV |  0.000 |   13.85   1.577   2.73
     S :     -3.27911 eV |  0.000 |   17.12   1.041   3.36
    Sb :     -3.84238 eV |  0.000 |   27.43   1.646   3.38
