## VASPv5 - PBE - 400ev - 21x21x21 - NBANDSok - with SP
##          Total-energy | mag=   |  Vol-at  Vol-cub  a-cub 
    Ac :     -3.97165 eV |  0.556 |   22.91   91.63   4.51
    Ag :     -2.79653 eV |  0.000 |    9.10   36.38   3.31
    Al :     -3.64939 eV |  0.000 |    8.43   33.73   3.23
    As :     -4.21473 eV |  0.000 |    9.55   38.19   3.37
    Au :     -3.24972 eV | -0.000 |    9.12   36.49   3.32
     B :     -4.96618 eV |  0.000 |    3.07   12.28   2.31
 Ba_sv :     -1.92322 eV |  0.000 |   31.61  126.43   5.02
    Be :     -3.65492 eV |  0.000 |    3.92   15.68   2.50
    Bi :     -3.74921 eV |  0.000 |   15.79   63.18   3.98
    Br :     -1.00444 eV |  0.287 |   13.36   53.43   3.77
     C :     -4.88085 eV |  0.000 |    3.31   13.24   2.37
 Ca_pv :     -1.96782 eV |  0.044 |   20.99   83.98   4.38
    Cd :     -0.85305 eV |  0.000 |   11.55   46.22   3.59
    Ce :     -5.65806 eV | -0.003 |   15.23   60.90   3.93
    Cl :     -0.97933 eV |  0.986 |   11.68   46.71   3.60
    Co :     -7.00905 eV |  1.727 |    5.56   22.24   2.81
    Cr :     -9.50958 eV |  0.000 |    5.70   22.81   2.84
 Cs_sv :     -0.85261 eV |  0.000 |   57.56  230.23   6.13
    Cu :     -3.68399 eV |  0.000 |    6.04   24.17   2.89
  Dy_3 :     -4.45758 eV |  0.054 |   15.99   63.96   4.00
  Er_3 :     -4.53957 eV | -0.001 |   30.47  121.90   4.96
     F :     -1.26411 eV |  1.000 |    4.65   18.61   2.65
    Fe :     -8.30967 eV |  2.206 |    5.69   22.77   2.83
    Ga :     -2.88863 eV |  0.000 |    9.60   38.39   3.37
    Ge :     -4.17363 eV |  0.000 |    9.69   38.74   3.38
    Hf :     -9.77625 eV |  0.001 |   11.01   44.04   3.53
    Hg :     -0.29862 eV | -0.000 |   14.97   59.86   3.91
  Ho_3 :     -4.43452 eV |  0.094 |   15.78   63.12   3.98
     I :     -1.05358 eV |  0.030 |   17.92   71.66   4.15
    In :     -2.54957 eV | -0.000 |   13.94   55.75   3.82
    Ir :     -8.24337 eV |  0.522 |    7.57   30.28   3.12
  K_sv :     -1.09671 eV | -0.010 |   37.32  149.28   5.30
    La :     -4.31994 eV | -0.016 |   18.79   75.16   4.22
    Li :     -1.89909 eV |  0.001 |   10.17   40.66   3.44
    Mg :     -1.51365 eV |  0.000 |   11.36   45.43   3.57
    Mn :     -8.88171 eV |  0.907 |    5.45   21.78   2.79
    Mo :    -10.94943 eV |  0.000 |    7.82   31.26   3.15
     N :     -4.07927 eV |  0.000 |    3.48   13.91   2.41
    Na :     -1.30745 eV |  0.001 |   18.40   73.62   4.19
 Nb_pv :    -10.09238 eV | -0.000 |    9.17   36.67   3.32
    Nd :     -6.35727 eV |  0.000 |   10.39   41.56   3.46
    Ni :     -5.47756 eV |  0.538 |    5.49   21.97   2.80
    Np :    -12.49620 eV |  0.000 |    8.86   35.45   3.29
     O :     -2.49343 eV |  0.000 |    3.65   14.59   2.44
 Os_pv :    -10.34003 eV | -0.000 |    7.43   29.73   3.10
     P :     -4.68349 eV |  0.000 |    7.10   28.41   3.05
    Pa :     -9.31747 eV |  0.001 |   12.32   49.30   3.67
    Pb :     -3.52935 eV |  0.000 |   15.89   63.58   3.99
    Pd :     -5.13658 eV |  0.000 |    7.78   31.14   3.15
    Pr :     -6.45610 eV |  2.887 |   14.25   57.02   3.85
    Pt :     -5.96128 eV | -0.001 |    7.95   31.82   3.17
    Pu :    -13.71144 eV |  0.000 |    8.25   32.98   3.21
 Rb_pv :     -0.93189 eV | -0.000 |   45.23  180.93   5.66
    Re :    -12.10558 eV |  0.000 |    7.54   30.15   3.11
    Rh :     -6.93495 eV |  0.454 |    7.31   29.22   3.08
    Ru :     -8.58456 eV |  0.071 |    7.16   28.64   3.06
     S :     -3.00261 eV |  0.000 |    7.87   31.50   3.16
    Sb :     -3.88980 eV |  0.000 |   13.59   54.37   3.79
 Sc_sv :     -6.22789 eV | -0.007 |   12.44   49.77   3.68
    Se :     -2.90068 eV |  0.000 |   10.20   40.81   3.44
    Si :     -4.90185 eV |  0.000 |    7.33   29.33   3.08
    Sn :     -3.76622 eV |  0.000 |   13.80   55.19   3.81
 Sr_sv :     -1.67782 eV | -0.000 |   26.84  107.38   4.75
    Ta :    -11.86241 eV | -0.001 |    9.05   36.21   3.31
  Tb_3 :     -4.48172 eV |  0.473 |   16.19   64.77   4.02
    Tc :    -10.04179 eV |  0.000 |    7.32   29.28   3.08
    Te :     -2.83373 eV |  0.001 |   14.25   57.00   3.85
    Th :     -7.26900 eV | -0.000 |   16.26   65.05   4.02
    Ti :     -7.66166 eV |  0.002 |    8.47   33.90   3.24
    Tl :     -2.24063 eV | -0.000 |   15.56   62.25   3.96
     U :    -11.01591 eV |  0.005 |   10.08   40.32   3.43
     V :     -8.94139 eV |  0.000 |    6.60   26.42   2.98
     W :    -13.01593 eV |  0.000 |    7.98   31.92   3.17
  Y_sv :     -6.33818 eV |  0.523 |   16.54   66.17   4.04
    Yb :     -1.64686 eV |  0.000 |   18.61   74.45   4.21
    Zn :     -1.18307 eV |  0.000 |    7.69   30.78   3.13
    Zr :     -8.39932 eV |  0.004 |   11.41   45.63   3.57
