## VASPv5 - PBE - 400ev - 21x21x21 - NBANDSok - with SP
##          Total-energy | mag=   |  Vol-at  Vol-cub  a-cub 
    Mn :     -8.94470 eV |  0.059 |   10.70   42.79   3.50
    Mo :    -10.52066 eV | -0.000 |   15.92   63.68   3.99
     N :     -3.85156 eV |  0.000 |    7.30   29.19   3.08
    Na :     -1.30808 eV |  0.001 |   36.84  147.37   5.28
 Nb_pv :     -9.77074 eV |  0.000 |   18.96   75.86   4.23
    Ni :     -5.57014 eV |  0.619 |   10.93   43.74   3.52
     O :     -2.68516 eV |  2.000 |   10.24   40.98   3.45
 Os_pv :    -11.08911 eV |  0.000 |   14.42   57.68   3.86
     P :     -4.51806 eV |  0.000 |   14.56   58.26   3.88
    Pa :     -9.49491 eV | -0.000 |   25.23  100.91   4.66
    Pb :     -3.57208 eV |  0.000 |   31.80  127.20   5.03
  Pb_d :     -3.71532 eV |  0.001 |   32.14  128.57   5.05
    Pd :     -5.18241 eV |  0.349 |   15.45   61.79   3.95
    Pr :     -6.51082 eV |  2.444 |   27.73  110.92   4.80
    Pt :     -6.05620 eV |  0.001 |   15.72   62.88   3.98
    Pu :    -13.97416 eV |  5.689 |   27.10  108.39   4.77
 Rb_pv :     -0.93244 eV | -0.000 |   90.26  361.04   7.12
    Re :    -12.35923 eV | -0.000 |   14.99   59.96   3.91
    Rh :     -7.27040 eV |  0.001 |   14.17   56.69   3.84
    Ru :     -9.09213 eV |  0.000 |   13.92   55.66   3.82
     S :     -2.83047 eV | -0.000 |   15.84   63.35   3.99
    Sb :     -3.80259 eV | -0.000 |   27.44  109.76   4.79
 Sc_sv :     -6.28493 eV | -0.000 |   24.67   98.66   4.62
    Se :     -2.76014 eV | -0.000 |   20.37   81.49   4.34
    Si :     -4.88778 eV |  0.000 |   14.45   57.82   3.87
    Sn :     -3.77740 eV |  0.000 |   27.98  111.93   4.82
  Sn_d :     -3.94289 eV |  0.000 |   28.01  112.04   4.82
 Sr_sv :     -1.67353 eV | -0.002 |   54.54  218.15   6.02
    Ta :    -11.61350 eV |  0.000 |   18.65   74.59   4.21
  Tb_3 :     -4.61569 eV | -0.000 |   31.97  127.89   5.04
    Tc :    -10.23650 eV | -0.000 |   14.54   58.15   3.87
    Te :     -2.72891 eV | -0.000 |   28.20  112.80   4.83
    Th :     -7.41242 eV |  0.000 |   32.08  128.31   5.04
    Ti :     -7.70617 eV | -0.007 |   17.11   68.43   4.09
 Ti_sv :     -7.83334 eV |  0.000 |   17.34   69.34   4.11
    Tl :     -2.22591 eV |  0.001 |   30.78  123.11   4.97
    Tm :      9.46470 eV | -0.220 |   32.28  129.13   5.05
     U :    -10.91555 eV |  1.043 |   21.75   87.01   4.43
     V :     -8.68372 eV |  0.000 |   13.65   54.61   3.79
  V_pv :     -8.83336 eV |  0.001 |   13.80   55.20   3.81
  V_sv :     -8.87266 eV |  0.001 |   13.85   55.41   3.81
     W :    -12.52493 eV | -0.000 |   16.29   65.17   4.02
  Y_sv :     -6.43768 eV |  0.000 |   32.42  129.67   5.06
    Yb :     -1.64602 eV |  0.000 |   36.94  147.76   5.29
    Zn :     -1.24391 eV |  0.000 |   15.23   60.91   3.93
    Zr :     -8.43739 eV |  0.000 |   23.26   93.05   4.53
 Zr_sv :     -8.43739 eV |  0.000 |   23.26   93.05   4.53
