## VASPv5 - PBE - 400ev - 21x21x21 - NBANDSok - with SP
##          Total-energy | mag=   |  Vol-at  Vol-cub  a-cub 
    Ac :     -4.09395 eV |  0.008 |   45.50  182.00   5.67
    Ag :     -2.82730 eV |  0.000 |   18.04   72.16   4.16
    Al :     -3.74529 eV |  0.000 |   16.46   65.83   4.04
    As :     -4.10925 eV |  0.000 |   19.36   77.43   4.26
    Au :     -3.27119 eV | -0.000 |   18.17   72.69   4.17
     B :     -5.32551 eV |  0.000 |    5.89   23.56   2.87
 Ba_sv :     -1.90577 eV |  0.002 |   64.75  259.00   6.37
    Be :     -3.67257 eV | -0.000 |    7.88   31.53   3.16
    Bi :     -3.69655 eV |  0.000 |   31.71  126.83   5.02
    Br :     -0.97195 eV |  0.002 |   26.32  105.28   4.72
     C :     -4.66822 eV |  0.000 |    7.22   28.88   3.07
 Ca_pv :     -1.99221 eV |  0.002 |   42.52  170.07   5.54
    Cd :     -0.90285 eV |  0.000 |   22.50   89.99   4.48
    Ce :     -5.93421 eV |  0.000 |   26.01  104.02   4.70
    Cl :     -0.92973 eV |  0.985 |   23.65   94.62   4.56
    Co :     -7.08987 eV |  1.634 |   10.92   43.67   3.52
    Cr :     -9.11623 eV |  0.000 |   11.74   46.95   3.61
 Cs_sv :     -0.85352 eV |  0.000 |  117.15  468.61   7.77
    Cu :     -3.71827 eV | -0.001 |   12.01   48.05   3.64
  Dy_3 :     -4.58496 eV |  0.000 |   31.48  125.90   5.01
  Er_3 :     -4.53956 eV | -0.000 |   30.51  122.03   4.96
     F :     -1.21712 eV |  1.000 |    9.41   37.65   3.35
    Fe :     -8.15307 eV |  1.041 |   10.54   42.14   3.48
    Ga :     -2.90410 eV |  0.000 |   18.98   75.93   4.23
    Ge :     -4.18228 eV |  0.000 |   19.67   78.68   4.29
  Ge_d :     -4.28087 eV | -0.009 |   19.52   78.09   4.27
    Hf :     -9.88270 eV |  0.000 |   22.29   89.17   4.47
 Hf_pv :     -9.88357 eV |  0.001 |   22.50   90.02   4.48
    Hg :     -0.29096 eV | -0.000 |   32.67  130.68   5.07
  Ho_3 :     -4.55768 eV | -0.000 |   30.88  123.52   4.98
     I :     -1.03890 eV |  0.002 |   34.95  139.81   5.19
    In :     -2.55951 eV | -0.000 |   27.53  110.14   4.79
  In_d :     -2.72803 eV |  0.001 |   27.52  110.07   4.79
    Ir :     -8.85618 eV | -0.000 |   14.57   58.26   3.88
  K_sv :     -1.09079 eV | -0.032 |   73.80  295.20   6.66
    La :     -4.84373 eV |  0.000 |   36.70  146.78   5.28
    Li :     -1.90070 eV | -0.001 |   20.33   81.32   4.33
    Mg :     -1.52940 eV |  0.000 |   23.00   91.98   4.51
