## VASPv5 - PBE - 400ev - 21x21x21 - NBANDSok - with SP
##          Total-energy | mag=   |  Vol-at   c/a     a-hex 
    Ac :     -4.08497 eV | -0.001 |   45.51   1.619   4.02
    Ag :     -2.82403 eV |  0.000 |   18.00   1.641   2.94
    Al :     -3.71227 eV | -0.000 |   16.60   1.653   2.85
    As :     -4.15272 eV |  0.000 |   19.43   1.728   2.96
    Au :     -3.26622 eV |  0.000 |   18.19   1.673   2.93
     B :     -5.96937 eV |  0.000 |   11.74   5.405   1.71
 Ba_sv :     -1.90953 eV | -0.002 |   63.69   1.642   4.47
    Be :     -3.75296 eV |  0.000 |    7.92   1.579   2.26
    Bi :     -3.73991 eV |  0.000 |   31.64   1.668   3.53
    Br :     -1.12562 eV |  0.000 |   28.69   1.091   3.93
     C :     -5.29808 eV |  0.000 |    8.98   4.121   1.71
 Ca_pv :     -1.97975 eV |  0.000 |   42.26   1.655   3.89
    Cd :     -0.90928 eV |  0.000 |   22.56   1.886   3.02
    Ce :     -5.84712 eV |  0.000 |   26.35   1.742   3.27
    Cl :     -1.09374 eV |  0.000 |   22.80   1.070   3.66
    Co :     -7.10780 eV |  1.592 |   10.84   1.615   2.49
    Cr :     -9.10814 eV |  0.000 |   11.79   1.797   2.47
    Cu :     -3.71118 eV |  0.000 |   11.98   1.641   2.56
  Dy_3 :     -4.59360 eV |  0.008 |   32.00   1.555   3.62
  Er_3 :     -4.56427 eV | -0.000 |   30.96   1.550   3.59
     F :     -1.36455 eV |  1.000 |   10.02   1.004   2.85
    Fe :     -8.22250 eV |  0.000 |   10.16   1.580   2.46
    Ga :     -2.89570 eV |  0.000 |   19.14   1.649   2.99
    Ge :     -4.18407 eV |  0.000 |   19.44   1.670   3.00
    Hf :     -9.95644 eV |  0.000 |   22.27   1.579   3.19
    Hg :     -0.30548 eV |  0.000 |   31.31   1.549   3.60
  Ho_3 :     -4.57457 eV | -0.000 |   31.50   1.550   3.61
     I :     -1.23513 eV |  0.000 |   48.77   2.941   3.37
    In :     -2.55404 eV |  0.000 |   27.83   1.631   3.40
    Ir :     -8.78379 eV |  0.000 |   14.63   1.620   2.75
  K_sv :     -1.09735 eV | -0.000 |   74.01   1.631   4.71
    La :     -4.89742 eV |  0.000 |   37.57   1.611   3.78
    Li :     -1.90042 eV |  0.000 |   20.30   1.620   3.07
    Mg :     -1.54250 eV |  0.000 |   22.80   1.620   3.19
    Mn :     -8.97613 eV |  0.000 |   10.63   1.616   2.48
    Mo :    -10.50554 eV |  0.000 |   15.99   1.782   2.75
     N :     -4.74049 eV |  0.000 |    6.87   0.955   2.55
    Na :     -1.30821 eV | -0.000 |   36.99   1.632   3.74
 Nb_pv :     -9.79654 eV |  0.000 |   18.87   1.821   2.88
    Nd :     -7.61837 eV |  4.055 |   30.90   1.593   3.55
    Ni :     -5.54637 eV |  0.621 |   10.93   1.642   2.49
    Np :    -12.44530 eV |  2.809 |   20.83   2.184   2.80
     O :     -2.92415 eV |  0.000 |    7.69   0.995   2.61
 Os_pv :    -11.22563 eV |  0.000 |   14.35   1.578   2.76
     P :     -4.97581 eV |  0.000 |   15.16   0.976   3.30
    Pa :     -9.48813 eV |  0.000 |   24.87   1.793   3.18
    Pb :     -3.55707 eV |  0.000 |   31.68   1.659   3.53
    Pd :     -5.15417 eV |  0.400 |   15.52   1.659   2.79
    Pr :     -6.47784 eV |  2.517 |   27.90   1.713   3.35
    Pt :     -5.99935 eV |  0.000 |   15.83   1.727   2.77
    Pu :    -13.74909 eV |  2.439 |   18.93   2.216   2.70
 Rb_pv :     -0.93300 eV |  0.000 |   91.40   1.622   5.07
    Re :    -12.42249 eV |  0.000 |   14.93   1.615   2.77
    Rh :     -7.23549 eV |  0.000 |   14.22   1.612   2.73
    Ru :     -9.20328 eV |  0.000 |   13.84   1.577   2.73
     S :     -3.27916 eV | -0.000 |   17.11   1.042   3.36
    Sb :     -3.84224 eV |  0.000 |   27.42   1.647   3.38
 Sc_sv :     -6.33268 eV |  0.000 |   24.61   1.554   3.32
    Se :     -3.12340 eV |  0.000 |   22.36   1.043   3.67
    Si :     -4.91569 eV |  0.000 |   14.32   1.692   2.69
    Sn :     -3.78014 eV |  0.000 |   27.67   1.657   3.38
 Sr_sv :     -1.67981 eV |  0.010 |   55.23   1.637   4.27
    Ta :    -11.57620 eV |  0.000 |   18.57   1.777   2.89
  Tb_3 :     -4.61701 eV |  0.001 |   32.44   1.566   3.63
    Tc :    -10.30606 eV |  0.000 |   14.47   1.599   2.75
    Te :     -2.96316 eV |  0.000 |   31.50   1.079   4.07
    Th :     -7.37121 eV |  0.000 |   32.50   1.689   3.54
    Ti :     -7.76242 eV | -0.000 |   17.12   1.582   2.92
    Tl :     -2.24545 eV |  0.000 |   31.12   1.565   3.58
     U :    -11.06577 eV |  0.000 |   20.97   1.837   2.98
     V :     -8.68333 eV |  0.000 |   13.61   1.813   2.59
     W :    -12.50860 eV |  0.000 |   16.36   1.786   2.77
  Y_sv :     -6.46414 eV |  0.212 |   32.93   1.560   3.65
    Yb :     -1.64212 eV |  0.000 |   37.77   1.631   3.77
    Zn :     -1.26635 eV |  0.000 |   15.18   1.881   2.65
    Zr :     -8.47783 eV | -0.000 |   23.43   1.599   3.23
