## VASPv5 - PBE - 400ev - 21x21x21 - NBANDSok - no SP
##          Total-energy | mag=   |  Vol-at  Vol-cub  a-cub 
    Ac :     -3.96202 eV |  0.000 |   45.74   91.48   4.51
    Ag :     -2.79663 eV |  0.000 |   18.16   36.32   3.31
    Al :     -3.64939 eV |  0.000 |   16.86   33.73   3.23
    As :     -4.21473 eV |  0.000 |   19.09   38.19   3.37
    Au :     -3.24971 eV |  0.000 |   18.25   36.51   3.32
     B :     -4.96618 eV |  0.000 |    6.14   12.28   2.31
 Ba_sv :     -1.92324 eV |  0.000 |   63.33  126.66   5.02
    Be :     -3.65492 eV |  0.000 |    7.84   15.68   2.50
    Bi :     -3.74921 eV |  0.000 |   31.59   63.18   3.98
    Br :     -1.00330 eV |  0.000 |   26.69   53.38   3.77
     C :     -4.88093 eV |  0.000 |    6.62   13.24   2.37
 Ca_pv :     -1.96503 eV |  0.000 |   42.10   84.20   4.38
    Cd :     -0.85305 eV |  0.000 |   23.12   46.23   3.59
    Ce :     -5.70470 eV |  0.000 |   26.91   53.83   3.78
    Cl :     -0.95817 eV |  0.000 |   21.26   42.52   3.49
    Co :     -6.66475 eV |  0.000 |   10.52   21.03   2.76
    Cr :     -9.50959 eV |  0.000 |   11.41   22.82   2.84
 Cs_sv :     -0.85260 eV |  0.000 |  115.07  230.13   6.13
    Cu :     -3.68408 eV |  0.000 |   12.03   24.05   2.89
  Dy_3 :     -4.45762 eV |  0.000 |   31.98   63.96   4.00
  Er_3 :     -4.53955 eV |  0.000 |   60.89  121.78   4.96
     F :     -0.95734 eV |  0.000 |    8.77   17.53   2.60
    Fe :     -7.83483 eV |  0.000 |   10.45   20.90   2.75
    Ga :     -2.88863 eV |  0.000 |   19.19   38.39   3.37
    Ge :     -4.17362 eV |  0.000 |   19.37   38.74   3.38
  Ge_d :     -4.27945 eV |  0.000 |   19.22   38.44   3.37
    Hf :     -9.77625 eV |  0.000 |   22.02   44.04   3.53
 Hf_pv :     -9.77574 eV |  0.000 |   22.24   44.49   3.54
    Hg :     -0.29862 eV |  0.000 |   29.93   59.86   3.91
  Ho_3 :     -4.43470 eV |  0.000 |   31.56   63.12   3.98
     I :     -1.05360 eV |  0.000 |   35.83   71.66   4.15
    In :     -2.54956 eV |  0.000 |   27.88   55.77   3.82
  In_d :     -2.71194 eV |  0.000 |   27.74   55.47   3.81
    Ir :     -8.22579 eV |  0.000 |   15.12   30.23   3.12
  K_sv :     -1.09676 eV |  0.000 |   74.53  149.05   5.30
    La :     -4.79482 eV |  0.000 |   37.60   75.20   4.22
    Li :     -1.89909 eV |  0.000 |   20.33   40.66   3.44
    Mg :     -1.51365 eV |  0.000 |   22.71   45.43   3.57
    Mn :     -8.86374 eV |  0.000 |   10.71   21.41   2.78
    Mo :    -10.94943 eV |  0.000 |   15.63   31.26   3.15
     N :     -4.07929 eV |  0.000 |    6.97   13.95   2.41
    Na :     -1.30745 eV |  0.000 |   36.81   73.62   4.19
 Nb_pv :    -10.09237 eV |  0.000 |   18.30   36.61   3.32
    Nd :     -6.35727 eV |  0.000 |   20.78   41.56   3.46
    Ni :     -5.46141 eV |  0.000 |   10.90   21.79   2.79
    Np :    -12.49620 eV |  0.000 |   17.73   35.45   3.29
     O :     -2.49343 eV |  0.000 |    7.30   14.59   2.44
 Os_pv :    -10.34003 eV |  0.000 |   14.86   29.72   3.10
     P :     -4.68349 eV |  0.000 |   14.20   28.40   3.05
    Pa :     -9.31747 eV |  0.000 |   24.66   49.33   3.67
    Pb :     -3.52935 eV |  0.000 |   31.79   63.58   3.99
  Pb_d :     -3.66477 eV |  0.000 |   31.91   63.82   4.00
    Pd :     -5.13663 eV |  0.000 |   15.53   31.07   3.14
    Pr :     -6.12342 eV |  0.000 |   22.72   45.43   3.57
    Pt :     -5.96128 eV |  0.000 |   15.91   31.82   3.17
    Pu :    -13.71144 eV |  0.000 |   16.46   32.92   3.21
 Rb_pv :     -0.93189 eV |  0.000 |   90.47  180.93   5.66
    Re :    -12.10558 eV |  0.000 |   15.07   30.15   3.11
    Rh :     -6.92712 eV |  0.000 |   14.60   29.20   3.08
    Ru :     -8.58467 eV |  0.000 |   14.32   28.64   3.06
     S :     -3.00262 eV |  0.000 |   15.75   31.50   3.16
    Sb :     -3.88979 eV |  0.000 |   27.18   54.37   3.79
 Sc_sv :     -6.22791 eV |  0.000 |   24.84   49.69   3.68
    Se :     -2.90068 eV |  0.000 |   20.40   40.81   3.44
    Si :     -4.90185 eV |  0.000 |   14.67   29.33   3.08
    Sn :     -3.76621 eV |  0.000 |   27.59   55.19   3.81
  Sn_d :     -3.93217 eV |  0.000 |   27.67   55.35   3.81
 Sr_sv :     -1.67782 eV |  0.000 |   53.69  107.38   4.75
    Ta :    -11.86241 eV |  0.000 |   18.10   36.21   3.31
  Tb_3 :     -4.48498 eV |  0.000 |   32.39   64.77   4.02
    Tc :    -10.04178 eV |  0.000 |   14.63   29.26   3.08
    Te :     -2.83374 eV |  0.000 |   28.50   57.00   3.85
    Th :     -7.26900 eV |  0.000 |   32.53   65.06   4.02
    Ti :     -7.66167 eV |  0.000 |   16.95   33.90   3.24
 Ti_sv :     -7.78266 eV |  0.000 |   17.19   34.37   3.25
    Tl :     -2.24063 eV |  0.000 |   31.13   62.25   3.96
     U :    -11.01591 eV |  0.000 |   20.10   40.19   3.43
     V :     -8.94139 eV |  0.000 |   13.21   26.42   2.98
  V_pv :     -9.07764 eV |  0.000 |   13.38   26.75   2.99
  V_sv :     -9.11528 eV |  0.000 |   13.38   26.76   2.99
     W :    -13.01593 eV |  0.000 |   15.96   31.92   3.17
  Y_sv :     -6.34101 eV |  0.000 |   33.03   66.06   4.04
    Yb :     -1.64673 eV |  0.000 |   36.31   72.62   4.17
    Zn :     -1.18311 eV |  0.000 |   15.31   30.62   3.13
    Zr :     -8.39935 eV |  0.000 |   22.82   45.65   3.57
 Zr_sv :     -8.39933 eV |  0.000 |   22.82   45.65   3.57
