## VASPv5 - PBE - 400ev - 21x21x21 - NBANDSok - no SP
##          Total-energy | mag=   |  Vol-at  Vol-cub  a-cub 
    Ac :     -4.09396 eV |  0.000 |   45.50  182.00   5.67
    Ag :     -2.82735 eV |  0.000 |   17.94   71.77   4.16
    Al :     -3.74529 eV |  0.000 |   16.45   65.78   4.04
    As :     -4.10925 eV |  0.000 |   19.36   77.43   4.26
    Au :     -3.27119 eV |  0.000 |   18.17   72.69   4.17
     B :     -5.32551 eV |  0.000 |    5.89   23.56   2.87
 Ba_sv :     -1.90577 eV |  0.000 |   64.75  259.00   6.37
    Be :     -3.67257 eV |  0.000 |    7.88   31.53   3.16
    Bi :     -3.69655 eV |  0.000 |   31.71  126.83   5.02
    Br :     -0.97195 eV |  0.000 |   26.32  105.28   4.72
     C :     -4.66849 eV |  0.000 |    7.23   28.91   3.07
 Ca_pv :     -1.98223 eV |  0.000 |   42.13  168.54   5.52
    Cd :     -0.90289 eV |  0.000 |   22.54   90.17   4.48
    Ce :     -5.93403 eV |  0.000 |   26.14  104.56   4.71
    Cl :     -0.91945 eV |  0.000 |   21.10   84.42   4.39
    Co :     -6.90471 eV |  0.000 |   10.30   41.18   3.45
    Cr :     -9.11623 eV |  0.000 |   11.75   46.99   3.61
 Cs_sv :     -0.85352 eV |  0.000 |  117.15  468.61   7.77
    Cu :     -3.71826 eV |  0.000 |   11.97   47.88   3.63
  Dy_3 :     -4.58496 eV |  0.000 |   31.48  125.90   5.01
  Er_3 :     -4.53956 eV |  0.000 |   30.47  121.88   4.96
     F :     -0.91508 eV |  0.000 |    8.79   35.17   3.28
    Fe :     -8.14407 eV |  0.000 |   10.22   40.88   3.44
    Ga :     -2.90410 eV |  0.000 |   18.98   75.93   4.23
    Ge :     -4.18228 eV |  0.000 |   19.67   78.68   4.29
  Ge_d :     -4.28723 eV |  0.000 |   19.53   78.11   4.27
    Hf :     -9.88270 eV |  0.000 |   22.29   89.17   4.47
 Hf_pv :     -9.88357 eV |  0.000 |   22.50   90.02   4.48
    Hg :     -0.29096 eV |  0.000 |   32.67  130.68   5.07
  Ho_3 :     -4.55770 eV |  0.000 |   30.91  123.66   4.98
     I :     -1.03890 eV |  0.000 |   34.95  139.81   5.19
    In :     -2.55951 eV |  0.000 |   27.53  110.14   4.79
  In_d :     -2.72247 eV |  0.000 |   27.49  109.95   4.79
    Ir :     -8.85618 eV |  0.000 |   14.57   58.26   3.88
  K_sv :     -1.09709 eV |  0.000 |   73.80  295.20   6.66
    La :     -4.92245 eV |  0.000 |   36.72  146.87   5.28
    Li :     -1.90070 eV |  0.000 |   20.33   81.32   4.33
    Lu :     -0.24764 eV |  0.000 |  469.48 1877.92  12.34
    Mg :     -1.52940 eV |  0.000 |   23.00   91.98   4.51
    Mn :     -8.94480 eV |  0.000 |   10.67   42.67   3.49
    Mo :    -10.52067 eV |  0.000 |   15.91   63.62   3.99
     N :     -3.85155 eV |  0.000 |    7.31   29.22   3.08
    Na :     -1.30808 eV |  0.000 |   36.84  147.37   5.28
 Nb_pv :     -9.77075 eV |  0.000 |   18.95   75.79   4.23
    Nd :     -6.42928 eV |  0.000 |   22.80   91.19   4.50
    Ni :     -5.51267 eV |  0.000 |   10.84   43.36   3.51
    Np :    -12.12794 eV |  0.000 |   19.19   76.78   4.25
     O :     -2.30347 eV |  0.000 |    7.46   29.83   3.10
 Os_pv :    -11.08910 eV |  0.000 |   14.39   57.58   3.86
     P :     -4.51806 eV |  0.000 |   14.56   58.26   3.88
    Pa :     -9.49491 eV |  0.000 |   25.23  100.91   4.66
    Pb :     -3.57208 eV |  0.000 |   31.80  127.20   5.03
  Pb_d :     -3.70733 eV |  0.000 |   31.96  127.86   5.04
    Pd :     -5.18024 eV |  0.000 |   15.40   61.59   3.95
    Pr :     -6.29070 eV |  0.000 |   23.63   94.54   4.56
    Pt :     -6.05620 eV |  0.000 |   15.72   62.88   3.98
    Pu :    -13.28085 eV |  0.000 |   17.74   70.96   4.14
 Rb_pv :     -0.93246 eV |  0.000 |   90.39  361.54   7.12
    Re :    -12.35924 eV |  0.000 |   14.97   59.88   3.91
    Rh :     -7.27040 eV |  0.000 |   14.17   56.69   3.84
    Ru :     -9.09213 eV |  0.000 |   13.90   55.61   3.82
     S :     -2.83047 eV |  0.000 |   15.84   63.35   3.99
    Sb :     -3.80259 eV |  0.000 |   27.44  109.76   4.79
 Sc_sv :     -6.28494 eV |  0.000 |   24.62   98.47   4.62
    Se :     -2.76015 eV |  0.000 |   20.37   81.49   4.34
    Si :     -4.88777 eV |  0.000 |   14.45   57.82   3.87
    Sn :     -3.77740 eV |  0.000 |   27.98  111.93   4.82
  Sn_d :     -3.94288 eV |  0.000 |   27.98  111.93   4.82
 Sr_sv :     -1.68254 eV |  0.000 |   54.47  217.87   6.02
    Ta :    -11.61350 eV |  0.000 |   18.65   74.59   4.21
  Tb_3 :     -4.61569 eV |  0.000 |   31.97  127.89   5.04
    Tc :    -10.23650 eV |  0.000 |   14.54   58.15   3.87
    Te :     -2.72891 eV |  0.000 |   28.20  112.80   4.83
    Th :     -7.41241 eV |  0.000 |   32.04  128.18   5.04
    Ti :     -7.70617 eV |  0.000 |   17.10   68.38   4.09
 Ti_sv :     -7.83334 eV |  0.000 |   17.35   69.40   4.11
    Tl :     -2.22592 eV |  0.000 |   30.78  123.11   4.97
     U :    -10.89158 eV |  0.000 |   21.65   86.61   4.42
     V :     -8.68372 eV |  0.000 |   13.66   54.64   3.79
  V_pv :     -8.83358 eV |  0.000 |   13.83   55.31   3.81
  V_sv :     -8.87237 eV |  0.000 |   13.82   55.30   3.81
     W :    -12.52494 eV |  0.000 |   16.27   65.07   4.02
  Y_sv :     -6.44038 eV |  0.000 |   32.42  129.67   5.06
    Yb :     -1.64584 eV |  0.000 |   37.41  149.64   5.31
    Zn :     -1.24402 eV |  0.000 |   15.09   60.38   3.92
    Zr :     -8.43738 eV |  0.000 |   23.26   93.05   4.53
 Zr_sv :     -8.50722 eV |  0.000 |   23.30   93.20   4.53
